epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.148,2.91187,4.1382,2.13348,0.25,0.00132,0.12641,0.01264,2.54784,2.76756,1.73011,4e-05,4e-05,4e-05
2,165.286,2.71809,2.97008,2.11898,0.3518,0.45455,0.34606,0.13715,2.23158,2.47417,1.6645,9.01e-05,9.01e-05,9.01e-05
3,241.94,2.36913,2.15553,1.95877,0.26745,0.36759,0.23245,0.08953,2.26378,3.36713,1.69076,0.00012832,0.00012832,0.00012832
4,317.447,2.24088,2.09048,1.74556,0.58287,0.47958,0.4579,0.17985,2.19741,4.87738,1.66777,0.00015466,0.00015466,0.00015466
5,395.385,2.12597,1.89052,1.63106,0.5563,0.50856,0.48864,0.17921,2.16688,2.47429,1.59272,0.00016912,0.00016912,0.00016912
6,479.926,1.84693,1.67434,1.46694,0.58264,0.63455,0.57892,0.22835,1.98563,3.28671,1.56789,0.0001717,0.0001717,0.0001717
7,560.5,1.80354,1.4584,1.425,0.42561,0.5926,0.43873,0.16062,2.1449,5.16632,1.7523,0.0001624,0.0001624,0.0001624
8,639.174,2.05469,2.13856,1.47399,0.42566,0.54414,0.44366,0.1592,2.21036,3.87454,1.81244,0.00014122,0.00014122,0.00014122
9,717.431,1.8732,2.22588,1.67169,0.53119,0.50066,0.46511,0.1757,2.18221,2.3469,1.77427,0.00010816,0.00010816,0.00010816
10,794.737,1.16072,38.7849,0.94543,0.59506,0.54414,0.51774,0.20287,2.1364,1.80902,1.72768,6.322e-05,6.322e-05,6.322e-05
